comparison,layer,n_train,n_eval,direction_norm,delta_norm_mean,delta_norm_std,projection_mean,projection_std,cosine_mean,cosine_std,probe_position
harmful_prefix-plain,6,32,32,0.0007722428417764604,0.004705139901489019,0.003704947652295232,0.00024359852250199765,0.00031633939943276346,0.03292125463485718,0.04330550506711006,last_user_token
harmful_prefix-plain,7,32,32,0.000941391394007951,0.005557526834309101,0.004361653700470924,0.000423623772803694,0.0004992231843061745,0.0482337549328804,0.0574645921587944,last_user_token
harmful_prefix-plain,8,32,32,0.0011600051075220108,0.00634099030867219,0.004953859839588404,0.00047901945072226226,0.0006423573358915746,0.047156669199466705,0.06365823745727539,last_user_token
harmful_prefix-plain,9,32,32,0.0013586579589173198,0.007115073036402464,0.005537714809179306,0.0006422093138098717,0.001106512383557856,0.054841991513967514,0.09617337584495544,last_user_token
harmful_prefix-plain,10,32,32,0.0014888906152918935,0.007823562249541283,0.006092899013310671,0.00047018425539135933,0.0009924842743203044,0.036100856959819794,0.07791491597890854,last_user_token
harmful_prefix-plain,11,32,32,0.0015166249359026551,0.008474708534777164,0.00661041121929884,0.0005525386077351868,0.0009846765315160155,0.03946416825056076,0.07127643376588821,last_user_token
harmful_prefix-plain,12,32,32,0.0019113121088594198,0.009928544983267784,0.007788242772221565,0.0008994038798846304,0.0017348482506349683,0.05311679095029831,0.10468630492687225,last_user_token
harmful_prefix-plain,13,32,32,0.002029589843004942,0.010792240500450134,0.008446930907666683,0.000767782679758966,0.0018339258385822177,0.042649611830711365,0.10480202734470367,last_user_token
harmful_prefix-plain,14,32,32,0.001954194623976946,0.01139476615935564,0.008916125632822514,0.0006358047830872238,0.001441420172341168,0.03398846089839935,0.07878067344427109,last_user_token
harmful_prefix-plain,15,32,32,0.0021089406218379736,0.012858615256845951,0.01007066946476698,0.0010394491255283356,0.001713443431071937,0.04975276440382004,0.0824466422200203,last_user_token
harmful_prefix-plain,16,32,32,0.002295340644195676,0.014627006836235523,0.011472929269075394,0.0012715617194771767,0.0018874640809372067,0.053189896047115326,0.07979067414999008,last_user_token
harmful_prefix-plain,17,32,32,0.002556611318141222,0.016379492357373238,0.012934138998389244,0.0013496321626007557,0.0019170970190316439,0.050077833235263824,0.07230295985937119,last_user_token
harmful_prefix-plain,18,32,32,0.0027532579842954874,0.017794175073504448,0.01406190451234579,0.0013514864258468151,0.0018562693148851395,0.04618483781814575,0.06452754884958267,last_user_token
harmful_prefix-plain,19,32,32,0.0029527924489229918,0.019594639539718628,0.015570963732898235,0.0014968086034059525,0.002002338645979762,0.04621807485818863,0.061374254524707794,last_user_token
harmful_prefix-plain,20,32,32,0.003428860567510128,0.022283710539340973,0.017729206010699272,0.0016531129367649555,0.002586245769634843,0.04446445032954216,0.06714674085378647,last_user_token
harmful_prefix-plain,21,32,32,0.00381115241907537,0.02496512234210968,0.01988539658486843,0.0017383943777531385,0.0029384130612015724,0.041512589901685715,0.06623973697423935,last_user_token
harmful_prefix-plain,22,32,32,0.004095461685210466,0.026991916820406914,0.021530115976929665,0.0014923183480277658,0.00331324920989573,0.0325428768992424,0.0696815550327301,last_user_token
harmful_prefix-plain,23,32,32,0.004487793892621994,0.02961946278810501,0.023597920313477516,0.0017357042524963617,0.003476417390629649,0.03443196043372154,0.0660984069108963,last_user_token
harmful_prefix-plain,24,32,32,0.004968364257365465,0.03342495858669281,0.026612866669893265,0.0018379795365035534,0.003508863737806678,0.03237038850784302,0.059535350650548935,last_user_token
harmful_prefix-plain,25,32,32,0.005497564561665058,0.03711261600255966,0.029433216899633408,0.001613306230865419,0.003565920051187277,0.02561427839100361,0.054670631885528564,last_user_token
harmful_prefix-plain,26,32,32,0.0062083168886601925,0.04174776002764702,0.03299001231789589,0.0017697163857519627,0.0036500513087958097,0.02499694563448429,0.05083868280053139,last_user_token
harmful_prefix-plain,27,32,32,0.007387218065559864,0.04883696883916855,0.03851526975631714,0.001938643748871982,0.004472058266401291,0.02244478650391102,0.053865302354097366,last_user_token
harmful_prefix-plain,28,32,32,0.014347477816045284,0.08520206809043884,0.06737296283245087,0.0038660261780023575,0.006965922191739082,0.026030639186501503,0.04854756221175194,last_user_token
