k,response_step,layer,component,singular_value,explained_energy_ratio,cumulative_energy_ratio
10,0,28,124,60.95794677734375,0.0017812220612540841,0.9518513679504395
10,0,28,125,60.453216552734375,0.0017518472159281373,0.953603208065033
10,0,28,126,60.37437438964844,0.0017472808249294758,0.9553505182266235
10,0,28,127,59.98122787475586,0.0017245989292860031,0.9570751190185547
10,0,28,128,59.27027893066406,0.001683958456851542,0.958759069442749
10,0,28,129,58.709163665771484,0.0016522250371053815,0.9604113101959229
10,0,28,130,58.24156951904297,0.0016260112170130014,0.9620373249053955
10,0,28,131,57.8862190246582,0.0016062301583588123,0.9636435508728027
10,0,28,132,57.18971252441406,0.0015678093768656254,0.9652113914489746
10,0,28,133,56.455204010009766,0.0015277959173545241,0.9667391777038574
10,0,28,134,56.29485321044922,0.0015191294951364398,0.9682583212852478
10,0,28,135,55.89126968383789,0.0014974259538576007,0.9697557091712952
10,0,28,136,55.442874908447266,0.0014734957367181778,0.9712291955947876
10,0,28,137,54.9375,0.00144675571937114,0.9726759791374207
10,0,28,138,54.39238357543945,0.0014181873993948102,0.9740941524505615
10,0,28,139,54.28898620605469,0.0014128005132079124,0.9755069613456726
10,0,28,140,53.61465835571289,0.0013779215514659882,0.9768848419189453
10,0,28,141,53.52470779418945,0.00137330184224993,0.9782581925392151
10,0,28,142,53.16171646118164,0.0013547383714467287,0.9796129465103149
10,0,28,143,52.75186538696289,0.0013339300639927387,0.9809468388557434
10,0,28,144,52.2923469543457,0.0013107917038723826,0.982257604598999
10,0,28,145,51.96858596801758,0.0012946106726303697,0.9835522174835205
10,0,28,146,51.5413932800293,0.0012734142364934087,0.9848256707191467
10,0,28,147,50.68709945678711,0.0012315507046878338,0.9860572218894958
10,0,28,148,50.35568618774414,0.0012154985452070832,0.9872727394104004
10,0,28,149,49.54519271850586,0.0011766855604946613,0.9884493947029114
10,0,28,150,48.93008041381836,0.001147649483755231,0.9895970225334167
10,0,28,151,48.77475357055664,0.0011403746902942657,0.9907374382019043
10,0,28,152,47.886619567871094,0.0010992229217663407,0.991836667060852
10,0,28,153,47.29197311401367,0.0010720925638452172,0.9929087162017822
10,0,28,154,45.71357727050781,0.0010017234599217772,0.9939104914665222
10,0,28,155,44.851470947265625,0.0009642969234846532,0.9948747754096985
10,0,28,156,44.328590393066406,0.000941944366786629,0.995816707611084
10,0,28,157,42.21969985961914,0.0008544520242139697,0.996671199798584
10,0,28,158,41.582027435302734,0.0008288362878374755,0.9975000023841858
10,0,28,159,40.64717102050781,0.0007919869967736304,0.9982919692993164
10,0,28,160,38.688514709472656,0.0007174993515945971,0.9990094900131226
10,0,28,161,35.98752975463867,0.0006208139820955694,0.9996302723884583
10,0,28,162,27.771928787231445,0.0003697170759551227,1.0
20,0,28,0,727.220703125,0.23801462352275848,0.23801462352275848
20,0,28,1,349.4027404785156,0.054944444447755814,0.292959064245224
20,0,28,2,306.2032470703125,0.04219789430499077,0.33515694737434387
20,0,28,3,284.0463562011719,0.036311957985162735,0.3714689016342163
20,0,28,4,222.683349609375,0.022317558526992798,0.3937864601612091
20,0,28,5,210.10963439941406,0.019868411123752594,0.4136548638343811
20,0,28,6,193.71041870117188,0.016887959092855453,0.43054282665252686
20,0,28,7,179.4911346435547,0.014499640092253685,0.4450424611568451
20,0,28,8,172.38311767578125,0.01337397936731577,0.4584164321422577
20,0,28,9,165.82632446289062,0.012375937774777412,0.47079238295555115
20,0,28,10,157.08375549316406,0.011105388402938843,0.48189777135849
20,0,28,11,155.46990966796875,0.010878371074795723,0.49277615547180176
20,0,28,12,151.1291961669922,0.010279403999447823,0.5030555725097656
20,0,28,13,147.22618103027344,0.009755315259099007,0.5128108859062195
20,0,28,14,145.61521911621094,0.009542996063828468,0.5223538875579834
20,0,28,15,141.56857299804688,0.009019965305924416,0.5313738584518433
20,0,28,16,137.9462890625,0.00856428686529398,0.5399381518363953
20,0,28,17,136.8837127685547,0.008432856760919094,0.5483710169792175
20,0,28,18,133.8064727783203,0.008057965897023678,0.5564289689064026
20,0,28,19,131.3949432373047,0.007770133670419455,0.5641990900039673
20,0,28,20,128.86170959472656,0.007473412435501814,0.5716724991798401
20,0,28,21,127.97242736816406,0.007370620034635067,0.5790430903434753
20,0,28,22,125.5650405883789,0.007095919456332922,0.5861390233039856
20,0,28,23,124.13874816894531,0.006935629993677139,0.5930746793746948
20,0,28,24,122.31120300292969,0.006732923444360495,0.599807620048523
20,0,28,25,122.12872314453125,0.006712847854942083,0.6065204739570618
20,0,28,26,120.44818878173828,0.006529377307742834,0.6130498647689819
20,0,28,27,119.91646575927734,0.006471856031566858,0.6195217370986938
20,0,28,28,118.27368927001953,0.006295750383287668,0.6258174777030945
20,0,28,29,116.56722259521484,0.006115389056503773,0.6319328546524048
20,0,28,30,115.47063446044922,0.006000871304422617,0.6379337310791016
20,0,28,31,113.85151672363281,0.005833763629198074,0.6437674760818481
20,0,28,32,112.87812805175781,0.005734437145292759,0.6495019197463989
20,0,28,33,112.54668426513672,0.005700810346752405,0.6552027463912964
20,0,28,34,111.09860229492188,0.005555055104196072,0.6607577800750732
20,0,28,35,109.71709442138672,0.005417760461568832,0.6661755442619324
20,0,28,36,108.1397476196289,0.005263103172183037,0.6714386343955994
